alias_id,place_id,alias
A_00001,P_0001,골목
A_00002,P_0001,테마거리
A_00003,P_0001,거리
A_00004,P_0001,1100고지드라이브코스
A_00005,P_0001,산책로
A_00006,P_0001,"거리,골목"
A_00007,P_0002,골목
A_00008,P_0002,테마거리
A_00009,P_0002,거리
A_00010,P_0002,1100도로드라이브
A_00011,P_0002,산책로
A_00012,P_0002,"거리,골목"
A_00013,P_0003,해양레저
A_00014,P_0003,요트투어
A_00015,P_0003,보트
A_00016,P_0003,M1971 요트투어
A_00017,P_0003,요트
A_00018,P_0003,M1971
A_00019,P_0004,가파도
A_00020,P_0004,마라도
A_00021,P_0004,유인도
A_00022,P_0004,무인도
A_00023,P_0004,추자도
A_00024,P_0004,부속섬
A_00025,P_0004,우도
A_00026,P_0004,섬
A_00027,P_0005,카트장
A_00028,P_0005,카트체험
A_00029,P_0005,레저
A_00030,P_0005,고카트
A_00031,P_0005,감귤카트
A_00032,P_0006,사진카페
A_00033,P_0006,감따남
A_00034,P_0006,이색카페
A_00035,P_0006,테마카페
A_00036,P_0006,컨셉카페
A_00037,P_0007,골목
A_00038,P_0007,강정해오름노을길
A_00039,P_0007,테마거리
A_00040,P_0007,산책로
A_00041,P_0007,거리
A_00042,P_0008,전망대
A_00043,P_0008,전망
A_00044,P_0008,경치
A_00045,P_0008,뷰포인트
A_00046,P_0008,거린사슴전망대
A_00047,P_0008,포토스팟
A_00048,P_0009,걸매생태공원
A_00049,P_0009,"자연,생태공원"
A_00050,P_0009,자연공원
A_00051,P_0009,자연
A_00052,P_0009,공원
A_00053,P_0009,생태공원
A_00054,P_0010,고근산
A_00055,P_0010,등산
A_00056,P_0010,하이킹
A_00057,P_0010,산
A_00058,P_0010,봉우리
A_00059,P_0010,트레킹
A_00060,P_0010,한라산
A_00061,P_0011,원시림
A_00062,P_0011,숲길
A_00063,P_0011,곶자왈
A_00064,P_0011,숲
A_00065,P_0011,고살리숲길
A_00066,P_0011,산책로
A_00067,P_0011,자연명소
A_00068,P_0012,북카페
A_00069,P_0012,서점
A_00070,P_0012,책방
A_00071,P_0012,고요편지
A_00072,P_0012,도서
A_00073,P_0013,공간오름
A_00074,P_0013,복합문화공간
A_00075,P_0014,광치기해변
A_00076,P_0015,구두미포구
A_00077,P_0015,"항구,포구"
A_00078,P_0015,교통
A_00079,P_0015,어항
A_00080,P_0015,항구
A_00081,P_0015,포구
A_00082,P_0015,방파제
A_00083,P_0016,해양레저
A_00084,P_0016,요트투어
A_00085,P_0016,그랑블루요트투어
A_00086,P_0016,보트
A_00087,P_0016,요트
A_00088,P_0017,체험관
A_00089,P_0017,수영장
A_00090,P_0017,테마파크
A_00091,P_0017,놀이공원
A_00092,P_0017,물놀이
A_00093,P_0017,남원용암해수풀장
A_00094,P_0017,어트랙션
A_00095,P_0017,워터파크
A_00096,P_0017,워터테마파크
A_00097,P_0018,독채펜션
A_00098,P_0018,단독펜션
A_00099,P_0018,펜션
A_00100,P_0018,숙소
A_00101,P_0018,남쪽나라펜션
A_00102,P_0018,민박
A_00103,P_0019,패션잡화점
A_00104,P_0019,낭만잡화점
A_00105,P_0019,패션
A_00106,P_0020,커피
A_00107,P_0020,원두커피
A_00108,P_0020,사진카페
A_00109,P_0020,이색카페
A_00110,P_0020,카페
A_00111,P_0020,디저트
A_00112,P_0020,컨셉카페
A_00113,P_0020,논짓물 해수 족욕카페
A_00114,P_0020,"카페,디저트"
A_00115,P_0020,논짓물
A_00116,P_0020,카페추천
A_00117,P_0020,커피전문점
A_00118,P_0020,테마카페
A_00119,P_0021,다즈랩
A_00120,P_0021,다즈랩 I 다즈랜드
A_00121,P_0022,기암
A_00122,P_0022,기암괴석
A_00123,P_0022,자연명소
A_00124,P_0022,바위
A_00125,P_0022,암석
A_00126,P_0022,대포주상절리
A_00127,P_0023,기념물
A_00128,P_0023,문화재
A_00129,P_0023,유적
A_00130,P_0023,기념비
A_00131,P_0023,대포해안주상절리대
A_00132,P_0024,더
A_00133,P_0024,호텔
A_00134,P_0024,특급호텔
A_00135,P_0024,숙소
A_00136,P_0024,성급호텔
A_00137,P_0024,호캉스
A_00138,P_0024,더 그랜드 섬오름
A_00139,P_0025,돈내코유원지
A_00140,P_0026,정원
A_00141,P_0026,수목원
A_00142,P_0026,돌낭예술정원
A_00143,P_0026,"식물원,수목원"
A_00144,P_0026,산림
A_00145,P_0026,식물원
A_00146,P_0027,동홍동솔오름전망대
A_00147,P_0027,전망대
A_00148,P_0027,전망
A_00149,P_0027,경치
A_00150,P_0027,뷰포인트
A_00151,P_0027,포토스팟
A_00152,P_0028,떡집똘래미
A_00153,P_0029,북카페
A_00154,P_0029,서점
A_00155,P_0029,책방
A_00156,P_0029,라바북스
A_00157,P_0029,도서
A_00158,P_0030,체험관
A_00159,P_0030,테마파크
A_00160,P_0030,어트랙션
A_00161,P_0030,런닝맨 제주점
A_00162,P_0030,런닝맨
A_00163,P_0030,놀이공원
A_00164,P_0031,샌드위치
A_00165,P_0031,브런치
A_00166,P_0031,카페
A_00167,P_0031,아침식사
A_00168,P_0031,마녀의언덕
A_00169,P_0031,브런치카페
A_00170,P_0031,마녀의언덕 브런치카페
A_00171,P_0032,막숙물
A_00172,P_0033,"항구,포구"
A_00173,P_0033,어항
A_00174,P_0033,항구
A_00175,P_0033,포구
A_00176,P_0033,망장포구
A_00177,P_0033,방파제
A_00178,P_0034,파스타
A_00179,P_0034,버거
A_00180,P_0034,스테이크
A_00181,P_0034,패스트푸드
A_00182,P_0034,맥도날드 제주중문DT점
A_00183,P_0034,수제버거
A_00184,P_0034,서양음식
A_00185,P_0034,양식
A_00186,P_0034,맥도날드
A_00187,P_0034,햄버거
A_00188,P_0035,전통시장
A_00189,P_0035,재래시장
A_00190,P_0035,모슬포중앙시장
A_00191,P_0035,시장
A_00192,P_0035,장터
A_00193,P_0036,제주오름
A_00194,P_0036,오름
A_00195,P_0036,산
A_00196,P_0036,등산
A_00197,P_0036,물영아리
A_00198,P_0036,올레길
A_00199,P_0036,트레킹
A_00200,P_0036,오름추천
A_00201,P_0037,물영아리오름습지
A_00202,P_0038,일식
A_00203,P_0038,롤
A_00204,P_0038,미카도스시
A_00205,P_0038,초밥
A_00206,P_0038,회전초밥
A_00207,P_0038,사시미
A_00208,P_0038,"초밥,롤"
A_00209,P_0038,오마카세
A_00210,P_0038,미카도스시 제주중문점
A_00211,P_0038,덴푸라
A_00212,P_0038,일본요리
A_00213,P_0038,스시
A_00214,P_0039,체험관
A_00215,P_0039,어트랙션
A_00216,P_0039,박물관은살아있다
A_00217,P_0039,테마파크
A_00218,P_0039,놀이공원
A_00219,P_0039,박물관은살아있다 제주
A_00220,P_0040,법환포구
A_00221,P_0040,"항구,포구"
A_00222,P_0040,어항
A_00223,P_0040,항구
A_00224,P_0040,포구
A_00225,P_0040,방파제
A_00226,P_0041,도시공원
A_00227,P_0041,공원산책
A_00228,P_0041,산책
A_00229,P_0041,베릿내공원
A_00230,P_0041,공원
A_00231,P_0041,근린공원
A_00232,P_0042,골목
A_00233,P_0042,테마거리
A_00234,P_0042,베릿내공원정자스탬프찍는곳
A_00235,P_0042,거리
A_00236,P_0042,산책로
A_00237,P_0042,"거리,골목"
A_00238,P_0043,제주오름
A_00239,P_0043,오름
A_00240,P_0043,산
A_00241,P_0043,등산
A_00242,P_0043,베릿내오름
A_00243,P_0043,올레길
A_00244,P_0043,트레킹
A_00245,P_0043,오름추천
A_00246,P_0044,제주오름
A_00247,P_0044,오름
A_00248,P_0044,산
A_00249,P_0044,베릿네오름
A_00250,P_0044,등산
A_00251,P_0044,올레길
A_00252,P_0044,트레킹
A_00253,P_0044,오름추천
A_00254,P_0045,제주오름
A_00255,P_0045,오름
A_00256,P_0045,산
A_00257,P_0045,베릿네오름
A_00258,P_0045,등산
A_00259,P_0045,올레길
A_00260,P_0045,트레킹
A_00261,P_0045,오름추천
A_00262,P_0046,별내린전망대
A_00263,P_0046,전망대
A_00264,P_0046,전망
A_00265,P_0046,경치
A_00266,P_0046,뷰포인트
A_00267,P_0046,포토스팟
A_00268,P_0047,주차장
A_00269,P_0047,별내린전망대주차장
A_00270,P_0048,호텔
A_00271,P_0048,특급호텔
A_00272,P_0048,숙소
A_00273,P_0048,성급호텔
A_00274,P_0048,호캉스
A_00275,P_0048,블룸호텔
A_00276,P_0049,사라오름
A_00277,P_0049,오름
A_00278,P_0049,제주오름
A_00279,P_0049,산
A_00280,P_0049,등산
A_00281,P_0049,올레길
A_00282,P_0049,트레킹
A_00283,P_0049,오름추천
A_00284,P_0050,커피
A_00285,P_0050,원두커피
A_00286,P_0050,사우스쇼어
A_00287,P_0050,카페
A_00288,P_0050,디저트
A_00289,P_0050,"카페,디저트"
A_00290,P_0050,카페추천
A_00291,P_0050,커피전문점
A_00292,P_0051,산짓물물놀이장
A_00293,P_0052,다리
A_00294,P_0052,새연교
A_00295,P_0052,교량
A_00296,P_0052,"교량,다리"
A_00297,P_0053,도시공원
A_00298,P_0053,공원산책
A_00299,P_0053,산책
A_00300,P_0053,색달생수천 생태문화공원
A_00301,P_0053,색달생수천
A_00302,P_0053,공원
A_00303,P_0053,근린공원
A_00304,P_0054,휴양림
A_00305,P_0054,자연명소
A_00306,P_0054,"휴양림,산림욕장"
A_00307,P_0054,산림욕장
A_00308,P_0054,색달포레스트
A_00309,P_0054,삼림욕
A_00310,P_0054,자연휴양림
A_00311,P_0055,키즈풀
A_00312,P_0055,"수영,수상"
A_00313,P_0055,수영장
A_00314,P_0055,생수천생태문화공원 물놀이장
A_00315,P_0055,물놀이
A_00316,P_0055,생수천생태문화공원
A_00317,P_0055,레저
A_00318,P_0055,스포츠
A_00319,P_0055,수영
A_00320,P_0055,어린이수영장
A_00321,P_0055,수상
A_00322,P_0055,워터파크
A_00323,P_0055,"스포츠,레저"
A_00324,P_0056,마라도
A_00325,P_0056,유인도
A_00326,P_0056,무인도
A_00327,P_0056,추자도
A_00328,P_0056,부속섬
A_00329,P_0056,서건도
A_00330,P_0056,우도
A_00331,P_0056,섬
A_00332,P_0057,삼림욕
A_00333,P_0057,서귀포자연휴양림
A_00334,P_0057,휴양림
A_00335,P_0057,자연명소
A_00336,P_0057,자연휴양림
A_00337,P_0057,산림욕장
A_00338,P_0058,레저
A_00339,P_0058,잠수함
A_00340,P_0058,테마
A_00341,P_0058,해양체험
A_00342,P_0058,해저레저
A_00343,P_0058,수중관광
A_00344,P_0058,"레저,테마"
A_00345,P_0058,서귀포잠수함
A_00346,P_0059,전시관
A_00347,P_0059,박물관
A_00348,P_0059,체험관
A_00349,P_0059,세계조가비박물관
A_00350,P_0060,세븐일레븐
A_00351,P_0060,세븐일레븐 서귀포라마다점
A_00352,P_0060,마트/편의점
A_00353,P_0061,소모소
A_00354,P_0061,의류판매
A_00355,P_0061,패션
A_00356,P_0062,소정방폭포
A_00357,P_0062,천지연
A_00358,P_0062,계곡
A_00359,P_0062,자연명소
A_00360,P_0062,정방폭포
A_00361,P_0062,폭포
A_00362,P_0063,소천지
A_00363,P_0064,유원지
A_00364,P_0064,속골유원지
A_00365,P_0065,솜반천
A_00366,P_0065,부동산
A_00367,P_0066,등산
A_00368,P_0066,하이킹
A_00369,P_0066,산
A_00370,P_0066,봉우리
A_00371,P_0066,트레킹
A_00372,P_0066,한라산
A_00373,P_0066,송악산
A_00374,P_0067,걷기여행
A_00375,P_0067,도보코스
A_00376,P_0067,산책
A_00377,P_0067,송악산둘레길
A_00378,P_0067,트레킹
A_00379,P_0067,올레길
A_00380,P_0068,골목
A_00381,P_0068,테마거리
A_00382,P_0068,거리
A_00383,P_0068,산책로
A_00384,P_0068,송악산산방산해안도로
A_00385,P_0068,"거리,골목"
A_00386,P_0069,골목
A_00387,P_0069,테마거리
A_00388,P_0069,쇠소깍다리
A_00389,P_0069,쇠소깍다리 스탬프찍는곳
A_00390,P_0069,거리
A_00391,P_0069,산책로
A_00392,P_0069,"거리,골목"
A_00393,P_0070,테마여행
A_00394,P_0070,액티비티
A_00395,P_0070,체험여행
A_00396,P_0070,숲으로
A_00397,P_0070,체험
A_00398,P_0071,신도포구
A_00399,P_0071,"항구,포구"
A_00400,P_0071,교통
A_00401,P_0071,어항
A_00402,P_0071,항구
A_00403,P_0071,포구
A_00404,P_0071,방파제
A_00405,P_0072,전시관
A_00406,P_0072,박물관
A_00407,P_0072,체험관
A_00408,P_0072,아프리카박물관
A_00409,P_0073,액트몬
A_00410,P_0073,체험관
A_00411,P_0073,어트랙션
A_00412,P_0073,액트몬 제주점
A_00413,P_0073,테마파크
A_00414,P_0073,놀이공원
A_00415,P_0074,엉덩물계곡
A_00416,P_0074,계곡
A_00417,P_0074,자연명소
A_00418,P_0074,물놀이
A_00419,P_0074,폭포
A_00420,P_0075,주차장
A_00421,P_0075,엉또폭포
A_00422,P_0076,갤러리
A_00423,P_0076,전시
A_00424,P_0076,엉터리공화국
A_00425,P_0076,전시관
A_00426,P_0076,미술관
A_00427,P_0076,화랑
A_00428,P_0077,영락리방파제
A_00429,P_0077,교통
A_00430,P_0077,방조제
A_00431,P_0078,건설업
A_00432,P_0078,오름건설
A_00433,P_0078,종합건설업
A_00434,P_0079,임대업
A_00435,P_0079,오션클라우드하우스
A_00436,P_0080,오월에제주
A_00437,P_0080,인테리어장식판매
A_00438,P_0080,생활용품점
A_00439,P_0081,부속건물
A_00440,P_0081,기업
A_00441,P_0081,"기업,빌딩"
A_00442,P_0081,빌딩
A_00443,P_0081,옷귀마테마타운전망대
A_00444,P_0082,왈종
A_00445,P_0082,갤러리
A_00446,P_0082,전시
A_00447,P_0082,왈종 미술관
A_00448,P_0082,전시관
A_00449,P_0082,미술관
A_00450,P_0082,화랑
A_00451,P_0083,워터월드 제주
A_00452,P_0083,워터월드
A_00453,P_0083,체험관
A_00454,P_0083,어트랙션
A_00455,P_0083,테마파크
A_00456,P_0083,놀이공원
A_00457,P_0084,"항구,포구"
A_00458,P_0084,어항
A_00459,P_0084,항구
A_00460,P_0084,포구
A_00461,P_0084,월평포구
A_00462,P_0084,방파제
A_00463,P_0085,제주오름
A_00464,P_0085,이승악
A_00465,P_0085,오름
A_00466,P_0085,산
A_00467,P_0085,등산
A_00468,P_0085,올레길
A_00469,P_0085,트레킹
A_00470,P_0085,오름추천
A_00471,P_0086,제주오름
A_00472,P_0086,오름
A_00473,P_0086,산
A_00474,P_0086,등산
A_00475,P_0086,올레길
A_00476,P_0086,트레킹
A_00477,P_0086,오름추천
A_00478,P_0086,이승이오름
A_00479,P_0087,커피
A_00480,P_0087,원두커피
A_00481,P_0087,카페
A_00482,P_0087,디저트
A_00483,P_0087,"카페,디저트"
A_00484,P_0087,이정의댁
A_00485,P_0087,카페추천
A_00486,P_0087,커피전문점
A_00487,P_0088,인생민물장어
A_00488,P_0088,장어
A_00489,P_0088,풍천장어
A_00490,P_0088,한식
A_00491,P_0088,"장어,먹장어요리"
A_00492,P_0088,먹장어요리
A_00493,P_0088,바다장어
A_00494,P_0088,민물장어
A_00495,P_0088,인생민물장어 중문점
A_00496,P_0088,장어구이
A_00497,P_0089,도시공원
A_00498,P_0089,자구리공원
A_00499,P_0089,공원산책
A_00500,P_0089,산책
A_00501,P_0089,공원
A_00502,P_0089,근린공원
A_00503,P_0090,자구리공원담수욕장
A_00504,P_0091,콩나물국밥
A_00505,P_0091,선지국
A_00506,P_0091,해장국
A_00507,P_0091,접짝뼈국
A_00508,P_0091,한식
A_00509,P_0091,속풀이
A_00510,P_0091,국밥
A_00511,P_0091,몸국
A_00512,P_0091,장가네 해장국
A_00513,P_0091,장가네
A_00514,P_0091,고사리육개장
A_00515,P_0092,정모시쉼터
A_00516,P_0093,천지연
A_00517,P_0093,계곡
A_00518,P_0093,자연명소
A_00519,P_0093,정방폭포
A_00520,P_0093,폭포
A_00521,P_0094,천지연
A_00522,P_0094,계곡
A_00523,P_0094,자연명소
A_00524,P_0094,정방폭포
A_00525,P_0094,폭포
A_00526,P_0095,제주고사리해장국
A_00527,P_0095,향토음식
A_00528,P_0095,한식
A_00529,P_0095,제주고사리해장국 중문본점
A_00530,P_0096,테마여행
A_00531,P_0096,액티비티
A_00532,P_0096,제주숲길
A_00533,P_0096,체험여행
A_00534,P_0096,체험
A_00535,P_0097,제주실탄사격장
A_00536,P_0097,레저
A_00537,P_0097,"레저,테마"
A_00538,P_0097,테마
A_00539,P_0098,걷기여행
A_00540,P_0098,도보코스
A_00541,P_0098,산책
A_00542,P_0098,제주올레길10코스
A_00543,P_0098,트레킹
A_00544,P_0098,올레길
A_00545,P_0099,걷기여행
A_00546,P_0099,도보코스
A_00547,P_0099,산책
A_00548,P_0099,제주올레길7-1코스
A_00549,P_0099,트레킹
A_00550,P_0099,올레길
A_00551,P_0100,걷기여행
A_00552,P_0100,제주올레길7코스
A_00553,P_0100,도보코스
A_00554,P_0100,산책
A_00555,P_0100,트레킹
A_00556,P_0100,올레길
A_00557,P_0101,걷기여행
A_00558,P_0101,제주올레길8코스
A_00559,P_0101,도보코스
A_00560,P_0101,산책
A_00561,P_0101,트레킹
A_00562,P_0101,올레길
A_00563,P_0102,전시관
A_00564,P_0102,제주유리박물관
A_00565,P_0102,박물관
A_00566,P_0102,체험관
A_00567,P_0103,수상
A_00568,P_0103,"수상,해양레저"
A_00569,P_0103,해양레저
A_00570,P_0103,제주제트
A_00571,P_0104,갤러리
A_00572,P_0104,제주추사관
A_00573,P_0104,전시
A_00574,P_0104,전시관
A_00575,P_0104,미술관
A_00576,P_0104,화랑
A_00577,P_0105,제주포슬
A_00578,P_0106,제주한라국수
A_00579,P_0106,한식
A_00580,P_0107,서핑
A_00581,P_0107,서핑보드
A_00582,P_0107,윈드서핑
A_00583,P_0107,제주해양레저
A_00584,P_0107,해양스포츠
A_00585,P_0107,"서핑,윈드서핑"
A_00586,P_0107,보드
A_00587,P_0108,제주오름
A_00588,P_0108,오름
A_00589,P_0108,산
A_00590,P_0108,제지기오름
A_00591,P_0108,등산
A_00592,P_0108,올레길
A_00593,P_0108,트레킹
A_00594,P_0108,오름추천
A_00595,P_0109,전시관
A_00596,P_0109,박물관
A_00597,P_0109,체험관
A_00598,P_0109,조안베어뮤지엄
A_00599,P_0110,골목
A_00600,P_0110,테마거리
A_00601,P_0110,주상절리안내소
A_00602,P_0110,거리
A_00603,P_0110,산책로
A_00604,P_0110,"거리,골목"
A_00605,P_0110,주상절리안내소 스탬프찍는곳
A_00606,P_0111,"스포츠,레저"
A_00607,P_0111,중문단지 축구장
A_00608,P_0111,축구
A_00609,P_0111,축구장
A_00610,P_0111,레저
A_00611,P_0111,스포츠
A_00612,P_0111,중문단지
A_00613,P_0112,백숙
A_00614,P_0112,닭요리
A_00615,P_0112,보양식
A_00616,P_0112,한식
A_00617,P_0112,삼계탕
A_00618,P_0112,"백숙,삼계탕"
A_00619,P_0112,중문삼계탕
A_00620,P_0113,해변
A_00621,P_0113,모래사장
A_00622,P_0113,해수욕장
A_00623,P_0113,백사장
A_00624,P_0113,물놀이
A_00625,P_0113,바다
A_00626,P_0113,오션뷰
A_00627,P_0113,중문색달해수욕장
A_00628,P_0113,"해수욕장,해변"
A_00629,P_0113,해수욕
A_00630,P_0114,해변
A_00631,P_0114,모래사장
A_00632,P_0114,해수욕장
A_00633,P_0114,백사장
A_00634,P_0114,물놀이
A_00635,P_0114,바다
A_00636,P_0114,오션뷰
A_00637,P_0114,중문색달해수욕장
A_00638,P_0114,"해수욕장,해변"
A_00639,P_0114,해수욕
A_00640,P_0115,일식
A_00641,P_0115,중문우동한그릇
A_00642,P_0115,일식당
A_00643,P_0115,사시미
A_00644,P_0115,중문우동한그릇 서귀포본점
A_00645,P_0115,덴푸라
A_00646,P_0115,일본요리
