place_id,name,main_category,sub_category,kakao_category,address_road,address_jibun,lat,lon,region,region_depth_2,phone
P_0001,1100고지드라이브코스,관광지,"여행,명소>거리,골목",,,제주특별자치도 서귀포시 중문동 산 1-2,33.341449750764902,126.461466325975,남부,서귀포시,
P_0002,1100도로드라이브,관광지,"여행,명소>거리,골목",,,제주특별자치도 서귀포시 대포동 산 6-2,33.3001084475478,126.45857731244099,남부,서귀포시,
P_0003,M1971 요트투어,관광지,"스포츠,오락>요트",,제주특별자치도 서귀포시 대정읍 최남단해안로 120,제주특별자치도 서귀포시 대정읍 하모리 646-20,33.210546072887603,126.257605181651,남부,서귀포시,
P_0004,가파도,관광지,"여행,명소>섬",,,제주특별자치도 서귀포시 대정읍 가파리,33.169731937091001,126.271293664433,남부,서귀포시,
P_0005,감귤카트,관광지,"스포츠,오락>카트장",,제주특별자치도 서귀포시 중문관광로 42,제주특별자치도 서귀포시 색달동 2629,33.254854857659801,126.409261291748,남부,서귀포시,
P_0006,감따남,관광지,테마카페,,제주특별자치도 서귀포시 월산로 16,제주특별자치도 서귀포시 강정동 1890-2,33.262047454431901,126.494537807177,남부,서귀포시,
P_0007,강정해오름노을길,관광지,여행,"여행 > 관광,명소 > 테마거리",제주특별자치도 서귀포시 말질로 279,제주특별자치도 서귀포시 강정동 4965-8,33.227559100000001,126.4780463,남부,서귀포시,064-739-2067
P_0008,거린사슴전망대,관광지,"여행,명소>전망대",,제주특별자치도 서귀포시 1100로 791,제주특별자치도 서귀포시 대포동 산 2-1,33.306580224888002,126.45166211921401,남부,서귀포시,
P_0009,걸매생태공원,관광지,"여행,명소>자연,생태공원",,,제주특별자치도 서귀포시 서홍동 1207,33.251419937966297,126.554744909063,남부,서귀포시,
P_0010,고근산,관광지,지도정보,"여행 > 관광,명소 > 산",제주 서귀포시,제주특별자치도 서귀포시 서호동 1286-1,33.266792500000001,126.5128723,남부,서귀포시,
P_0011,고살리숲길,관광지,여행,"여행 > 관광,명소 > 숲",제주 서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산 53-3,33.3168279,126.59819419999999,남부,서귀포시,064-733-8009
P_0012,고요편지,관광지,쇼핑,"문화,예술 > 도서 > 서점",제주특별자치도 서귀포시 효돈로 175,제주특별자치도 서귀포시 하효동 129,33.263792799999997,126.61765250000001,남부,서귀포시,0507-1349-6927
P_0013,공간오름,관광지,"문화,예술>복합문화공간",,제주특별자치도 서귀포시 열리로 33-5,제주특별자치도 서귀포시 상예동 1173,33.248079629766899,126.39352723425,남부,서귀포시,
P_0014,광치기해변,관광지,여행,,제주 서귀포시,제주특별자치도 서귀포시,33.254064630000002,126.5595635,남부,서귀포시,
P_0015,구두미포구,관광지,교통,"교통,수송 > 교통시설 > 항구,포구",제주 서귀포시,제주특별자치도 서귀포시 보목동,33.236612700000002,126.5966116,남부,서귀포시,
P_0016,그랑블루요트투어,관광지,"스포츠,오락>요트",,제주특별자치도 서귀포시 대포로 172-7,제주특별자치도 서귀포시 대포동 2184-7,33.2383136633783,126.439451293461,남부,서귀포시,
P_0017,남원용암해수풀장,관광지,여가,"여행 > 관광,명소 > 테마파크 > 워터테마파크",제주특별자치도 서귀포시 남원읍 남태해안로 140,제주특별자치도 서귀포시 남원읍 남원리 91-6,33.277817200000001,126.7196045,남부,서귀포시,064-764-8080
P_0018,남쪽나라펜션,관광지,숙박>펜션,,제주특별자치도 서귀포시 천제연로 135,제주특별자치도 서귀포시 중문동 1489-2,33.253764772815501,126.41973095418599,남부,서귀포시,
P_0019,낭만잡화점,관광지,,"가정,생활 > 패션 > 패션잡화점",제주특별자치도 서귀포시 태평로 450,제주특별자치도 서귀포시 서귀동 148-1,33.246369209999997,126.5679413,남부,서귀포시,
P_0020,논짓물 해수 족욕카페,관광지,"카페,디저트>테마카페",,제주특별자치도 서귀포시 논짓물로 13,제주특별자치도 서귀포시 하예동 580,33.2371944075255,126.388107383064,남부,서귀포시,
P_0021,다즈랩 I 다즈랜드,관광지,일반,,제주특별자치도 서귀포시 신서로32번길 5-14,제주특별자치도 서귀포시 강정동 170,33.25372969,126.5058447,남부,서귀포시,
P_0022,대포주상절리,관광지,여행,"여행 > 관광,명소 > 바위",제주특별자치도 서귀포시 이어도로 36-24,제주특별자치도 서귀포시 중문동 2757-10,33.238903639999997,126.4264867,남부,서귀포시,064-738-1521
P_0023,대포해안주상절리대,관광지,"여행,명소>기념물",,제주특별자치도 서귀포시 이어도로 36-24,제주특별자치도 서귀포시 중문동 2757-10,33.238699587335098,126.426443828098,남부,서귀포시,
P_0024,더 그랜드 섬오름,관광지,숙박>호텔,,제주특별자치도 서귀포시 막숙포로 118,제주특별자치도 서귀포시 법환동 1498,33.232848889401502,126.509720709036,남부,서귀포시,
P_0025,돈내코유원지,관광지,여행,,제주 서귀포시,제주특별자치도 서귀포시,33.254064630000002,126.5595635,남부,서귀포시,
P_0026,돌낭예술정원,관광지,"여행,명소>식물원,수목원",,제주특별자치도 서귀포시 남원읍 서성로 544-35,제주특별자치도 서귀포시 남원읍 위미리 3744-2,33.320075860548002,126.654238028861,남부,서귀포시,
P_0027,동홍동솔오름전망대,관광지,여행,"여행 > 관광,명소 > 전망대",제주 서귀포시,제주특별자치도 서귀포시 동홍동 2150-1,33.291616699999999,126.5558875,남부,서귀포시,
P_0028,떡집똘래미,관광지,쇼핑,,제주특별자치도 서귀포시 중앙로54번길 38,제주특별자치도 서귀포시 서귀동 276-2,33.249772139999997,126.5635759,남부,서귀포시,
P_0029,라바북스,관광지,,"문화,예술 > 도서 > 서점",제주특별자치도 서귀포시 남원읍 태위로 87,제주특별자치도 서귀포시 남원읍 위미리 3192-5,33.274435140000001,126.65681499999999,남부,서귀포시,010-4416-0444
P_0030,런닝맨 제주점,관광지,"여행,명소>테마파크",,제주특별자치도 서귀포시 중문관광로 42,제주특별자치도 서귀포시 색달동 2629,33.254854857659801,126.409261291748,남부,서귀포시,
P_0031,마녀의언덕 브런치카페,관광지,브런치카페,,제주특별자치도 서귀포시 예래해안로 205,제주특별자치도 서귀포시 하예동 702,33.234125930303499,126.38458269938,남부,서귀포시,
P_0032,막숙물,관광지,지도정보,,제주 서귀포시,제주특별자치도 서귀포시,33.254064630000002,126.5595635,남부,서귀포시,
P_0033,망장포구,관광지,여행,"교통,수송 > 교통시설 > 항구,포구",제주 서귀포시 하례망장포로 65-13,제주특별자치도 서귀포시 남원읍 하례리,33.259749999999997,126.6395375,남부,서귀포시,
P_0034,맥도날드 제주중문DT점,관광지,양식>햄버거,,제주특별자치도 서귀포시 중문관광로 38,제주특별자치도 서귀포시 색달동 2558-1,33.254964796932398,126.41355403225,남부,서귀포시,
P_0035,모슬포중앙시장,관광지,,"가정,생활 > 시장",제주특별자치도 서귀포시 대정읍 하모리 822-7,제주특별자치도 서귀포시 대정읍 하모리 822-7,33.22184918,126.25487649999999,남부,서귀포시,
P_0036,물영아리,관광지,"여행,명소>오름",,,제주특별자치도 서귀포시 남원읍 수망리 산 188,33.367782468966404,126.691706033201,남부,서귀포시,
P_0037,물영아리오름습지,관광지,지도정보,,제주 서귀포시,제주특별자치도 서귀포시,33.254064630000002,126.5595635,남부,서귀포시,
P_0038,미카도스시 제주중문점,관광지,"음식점>일식>초밥,롤",,제주특별자치도 서귀포시 중문상로 28,제주특별자치도 서귀포시 중문동 2051,33.250632195381002,126.425209862535,남부,서귀포시,
P_0039,박물관은살아있다 제주,관광지,"여행,명소>테마파크",,제주특별자치도 서귀포시 중문관광로 42,제주특별자치도 서귀포시 색달동 2629,33.254854857659801,126.409261291748,남부,서귀포시,
P_0040,법환포구,관광지,여행,"교통,수송 > 교통시설 > 항구,포구",제주 서귀포시,제주특별자치도 서귀포시 법환동 286-3,33.237176300000002,126.5154,남부,서귀포시,
P_0041,베릿내공원,관광지,여행,여행 > 공원,제주 서귀포시,제주특별자치도 서귀포시 색달동 3371-6,33.245762499999998,126.418224,남부,서귀포시,
P_0042,베릿내공원정자스탬프찍는곳,관광지,"여행,명소>거리,골목",,,제주특별자치도 서귀포시 색달동,33.278996310532698,126.40836408364601,남부,서귀포시,
P_0043,베릿내오름,관광지,"여행,명소>오름",,,제주특별자치도 서귀포시 중문동,33.2533312875494,126.43363928392399,남부,서귀포시,
P_0044,베릿네오름,관광지,여행,"여행 > 관광,명소 > 오름",제주 서귀포시,제주특별자치도 서귀포시 중문동 3712,33.247330400000003,126.4219923,남부,서귀포시,
P_0045,베릿네오름,관광지,"여행,명소>오름",,,제주특별자치도 서귀포시 중문동 2314-2,33.247403386170497,126.422056311463,남부,서귀포시,
P_0046,별내린전망대,관광지,"여행,명소>전망대",,,제주특별자치도 서귀포시 색달동 2943,33.247536914452297,126.417533433838,남부,서귀포시,
